change_id,repo,agent,package,pinned_version,primary_label,accepted_by_variants
samstill/company_management_backend#1::requirements.txt::pillow::version_change,samstill/company_management_backend,copilot,pillow,12.2.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|B1_scanner_fail_open|B1b_scanner_fail_closed|S1_existence|S1S2_version
samstill/company_management_backend#1::requirements.txt::pyjwt::version_change,samstill/company_management_backend,copilot,PyJWT,2.12.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
Azure/azureml-examples#4015::tutorials/get-started-notebooks/deploy/credit_defaults_model/requirements.txt::mlflow::version_change,Azure/azureml-examples,copilot,mlflow,1.26.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
Azure/azureml-examples#4015::tutorials/get-started-notebooks/deploy/credit_defaults_model/requirements.txt::scipy::add,Azure/azureml-examples,copilot,scipy,1.9.3,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
milandare26feb-ops/video-dubbing-ai#2::requirements.txt::torch::version_change,milandare26feb-ops/video-dubbing-ai,copilot,torch,2.6.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
milandare26feb-ops/video-dubbing-ai#1::requirements.txt::torch::version_change,milandare26feb-ops/video-dubbing-ai,copilot,torch,2.6.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
L-MARK/KG-VAQSystemOnMedical-master#1::requirements.txt::py2neo::add,L-MARK/KG-VAQSystemOnMedical-master,copilot,py2neo,2021.2.3,P2_INVALID_VERSION_SPEC,B0_no_gate|B1_scanner_fail_open|S1_existence
Wafheck/searchlight#2::requirements.txt::requests::add,Wafheck/searchlight,copilot,requests,2.31.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
debjitttdasss/Ai-project#4::requirements.txt::flask::add,debjitttdasss/Ai-project,copilot,Flask,3.1.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
HaibinFan/dermamnist-skin-lesion-classification#3::requirements.txt::torch::add,HaibinFan/dermamnist-skin-lesion-classification,copilot,torch,2.2.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
