change_id,pr_id,repo,pr_url,created_at,tool_evidence,manifest_file,package_name,new_spec,change_type,label_primary,primary_grade,label_confidence,evidence_source,adjudication_result
samstill/company_management_backend#1::requirements.txt::pillow::version_change,samstill/company_management_backend#1,samstill/company_management_backend,https://github.com/samstill/company_management_backend/pull/1,2026-05-29T07:51:41Z,aidev_agent:copilot,requirements.txt,pillow,==12.2.0,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P3_DIRECT_KNOWN_VULNERABILITY
samstill/company_management_backend#1::requirements.txt::pyjwt::version_change,samstill/company_management_backend#1,samstill/company_management_backend,https://github.com/samstill/company_management_backend/pull/1,2026-05-29T07:51:41Z,aidev_agent:copilot,requirements.txt,PyJWT,==2.12.0,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
Azure/azureml-examples#4015::tutorials/get-started-notebooks/deploy/credit_defaults_model/requirements.txt::mlflow::version_change,Azure/azureml-examples#4015,Azure/azureml-examples,https://github.com/Azure/azureml-examples/pull/4015,2026-06-08T06:24:58Z,aidev_agent:copilot,tutorials/get-started-notebooks/deploy/credit_defaults_model/requirements.txt,mlflow,==1.26.1,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
Azure/azureml-examples#4015::tutorials/get-started-notebooks/deploy/credit_defaults_model/requirements.txt::scipy::add,Azure/azureml-examples#4015,Azure/azureml-examples,https://github.com/Azure/azureml-examples/pull/4015,2026-06-08T06:24:58Z,aidev_agent:copilot,tutorials/get-started-notebooks/deploy/credit_defaults_model/requirements.txt,scipy,==1.9.3,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
milandare26feb-ops/video-dubbing-ai#2::requirements.txt::torch::version_change,milandare26feb-ops/video-dubbing-ai#2,milandare26feb-ops/video-dubbing-ai,https://github.com/milandare26feb-ops/video-dubbing-ai/pull/2,2026-05-13T02:06:54Z,aidev_agent:copilot,requirements.txt,torch,==2.6.0,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
milandare26feb-ops/video-dubbing-ai#1::requirements.txt::torch::version_change,milandare26feb-ops/video-dubbing-ai#1,milandare26feb-ops/video-dubbing-ai,https://github.com/milandare26feb-ops/video-dubbing-ai/pull/1,2026-05-13T02:00:25Z,aidev_agent:copilot,requirements.txt,torch,==2.6.0,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
L-MARK/KG-VAQSystemOnMedical-master#1::requirements.txt::py2neo::add,L-MARK/KG-VAQSystemOnMedical-master#1,L-MARK/KG-VAQSystemOnMedical-master,https://github.com/L-MARK/KG-VAQSystemOnMedical-master/pull/1,2026-03-02T07:01:45Z,aidev_agent:copilot,requirements.txt,py2neo,==2021.2.3,add,P2_INVALID_VERSION_SPEC,strong_absent_now,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
Wafheck/searchlight#2::requirements.txt::requests::add,Wafheck/searchlight#2,Wafheck/searchlight,https://github.com/Wafheck/searchlight/pull/2,2025-12-12T12:17:07Z,aidev_agent:copilot,requirements.txt,requests,==2.31.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
debjitttdasss/Ai-project#4::requirements.txt::flask::add,debjitttdasss/Ai-project#4,debjitttdasss/Ai-project,https://github.com/debjitttdasss/Ai-project/pull/4,2026-03-26T08:41:25Z,aidev_agent:copilot,requirements.txt,Flask,==3.1.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
HaibinFan/dermamnist-skin-lesion-classification#3::requirements.txt::torch::add,HaibinFan/dermamnist-skin-lesion-classification#3,HaibinFan/dermamnist-skin-lesion-classification,https://github.com/HaibinFan/dermamnist-skin-lesion-classification/pull/3,2026-03-23T23:27:55Z,aidev_agent:copilot,requirements.txt,torch,==2.2.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
HaibinFan/dermamnist-skin-lesion-classification#3::requirements.txt::scikit-learn::add,HaibinFan/dermamnist-skin-lesion-classification#3,HaibinFan/dermamnist-skin-lesion-classification,https://github.com/HaibinFan/dermamnist-skin-lesion-classification/pull/3,2026-03-23T23:27:55Z,aidev_agent:copilot,requirements.txt,scikit-learn,==1.4.1,add,P2_INVALID_VERSION_SPEC,strong_absent_now,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
motanova84/Riemann-adelic#2748::requirements-lock.txt::pillow::version_change,motanova84/Riemann-adelic#2748,motanova84/Riemann-adelic,https://github.com/motanova84/Riemann-adelic/pull/2748,2026-03-16T21:32:19Z,aidev_agent:copilot,requirements-lock.txt,pillow,==12.1.1,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P3_DIRECT_KNOWN_VULNERABILITY
DevRexxxx/Music_Player#10::requirements.txt::django::add,DevRexxxx/Music_Player#10,DevRexxxx/Music_Player,https://github.com/DevRexxxx/Music_Player/pull/10,2025-12-30T18:38:16Z,aidev_agent:copilot,requirements.txt,Django,==5.2.5,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
DevRexxxx/Music_Player#10::requirements.txt::pillow::add,DevRexxxx/Music_Player#10,DevRexxxx/Music_Player,https://github.com/DevRexxxx/Music_Player/pull/10,2025-12-30T18:38:16Z,aidev_agent:copilot,requirements.txt,Pillow,==10.4.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P3_DIRECT_KNOWN_VULNERABILITY
dotkaio/pose-tracking-3d#3::requirements.txt::torch::add,dotkaio/pose-tracking-3d#3,dotkaio/pose-tracking-3d,https://github.com/dotkaio/pose-tracking-3d/pull/3,2026-05-20T07:05:27Z,aidev_agent:copilot,requirements.txt,torch,==2.6.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
