case_id,pr_url,repo_full_name,manifest_path,package_name,version_specifier,risk_family_candidate,annotator_id,label,confidence,evidence_url_or_snapshot_id,rationale,adjudicated_label,adjudication_notes
vk4s/aider#9::pillow::11.3.0::S3,https://github.com/vk4s/aider/pull/9,vk4s/aider,requirements.txt,pillow,==11.3.0,S3_direct_advisory,,positive,high,GHSA-j7hp-h8jx-5ppr,,,
vk4s/aider#9::tiktoken::0.10.0::license,https://github.com/vk4s/aider/pull/9,vk4s/aider,requirements.txt,tiktoken,==0.10.0,S5_license_policy_violation,,uncertain,medium,pypi::tiktoken::license_missing,,,
akepo225/offline-coding-agent#14::sqlite3::nopin::license,https://github.com/akepo225/offline-coding-agent/pull/14,akepo225/offline-coding-agent,requirements.txt,sqlite3,,S5_license_policy_violation,,uncertain,medium,pypi::sqlite3::license_missing,,,
mohamedredachakir/CcLIVE#2::sentencepiece::nopin::license,https://github.com/mohamedredachakir/CcLIVE/pull/2,mohamedredachakir/CcLIVE,pyproject.toml,sentencepiece,>=0.1.99,S5_license_policy_violation,,uncertain,medium,pypi::sentencepiece::license_missing,,,
OgabekAI/Sparkle-Step-bot#2::django::5.0.6::S3,https://github.com/OgabekAI/Sparkle-Step-bot/pull/2,OgabekAI/Sparkle-Step-bot,requirements.txt,Django,==5.0.6,S3_direct_advisory,,positive,high,GHSA-5hgc-2vfp-mqvc; GHSA-6w2r-r2m5-xq5w; GHSA-795c-9xpc-xw6g; GHSA-7xr5-9hcq-chf9; GHSA-8498-2h75-472j; GHSA-9jmf-237g-qf46; GHSA-f6f8-9mx6-9mx2; GHSA-frmv-pr5f-9mcr; GHSA-jh75-99hh-qvx9; GHSA-m9g8-fxxm-xg86; GHSA-p3fp-8748-vqfq; GHSA-pv4p-cwwg-4rph; GHSA-qcgg-j2x8-h9g8; GHSA-qg2p-9jwr-mmqf; GHSA-qw25-v68c-qjf3; GHSA-r836-hh6v-rg5g; GHSA-rrqc-c2jx-6jgv; GHSA-wqfg-m96j-85vm; GHSA-x7q2-wr7g-xqmf; PYSEC-2024-102; PYSEC-2024-156; PYSEC-2024-157; PYSEC-2024-56; PYSEC-2024-57; PYSEC-2024-58; PYSEC-2024-59; PYSEC-2024-67; PYSEC-2024-68; PYSEC-2024-69; PYSEC-2024-70; PYSEC-2025-1; PYSEC-2025-13; PYSEC-2025-14,,,
OgabekAI/Sparkle-Step-bot#2::sqlparse::0.5.0::S3,https://github.com/OgabekAI/Sparkle-Step-bot/pull/2,OgabekAI/Sparkle-Step-bot,requirements.txt,sqlparse,==0.5.0,S3_direct_advisory,,positive,high,GHSA-27jp-wm6q-gp25,,,
trask/semantic-conventions-genai-orig#28::anthropic::0.98.1::S2_postdates,https://github.com/trask/semantic-conventions-genai-orig/pull/28,trask/semantic-conventions-genai-orig,reference/scenarios/anthropic/pyproject.toml,anthropic,==0.98.1,S2_invalid_version,,uncertain,medium,pypi::anthropic::==0.98.1,,,
trask/semantic-conventions-genai-orig#28::boto3::1.43.3::S2_postdates,https://github.com/trask/semantic-conventions-genai-orig/pull/28,trask/semantic-conventions-genai-orig,reference/scenarios/aws-bedrock-agent/pyproject.toml,boto3,==1.43.3,S2_invalid_version,,uncertain,medium,pypi::boto3::==1.43.3,,,
trask/semantic-conventions-genai-orig#28::openai::2.34.0::S2_postdates,https://github.com/trask/semantic-conventions-genai-orig/pull/28,trask/semantic-conventions-genai-orig,reference/scenarios/azure-openai/pyproject.toml,openai,==2.34.0,S2_invalid_version,,uncertain,medium,pypi::openai::==2.34.0,,,
trask/semantic-conventions-genai-orig#28::claude-agent-sdk::0.1.73::S2_postdates,https://github.com/trask/semantic-conventions-genai-orig/pull/28,trask/semantic-conventions-genai-orig,reference/scenarios/claude-agent-sdk/pyproject.toml,claude-agent-sdk,==0.1.73,S2_invalid_version,,uncertain,medium,pypi::claude-agent-sdk::==0.1.73,,,
trask/semantic-conventions-genai-orig#28::crewai::1.14.4::S2_postdates,https://github.com/trask/semantic-conventions-genai-orig/pull/28,trask/semantic-conventions-genai-orig,reference/scenarios/crewai/pyproject.toml,crewai,==1.14.4,S2_invalid_version,,uncertain,medium,pypi::crewai::==1.14.4,,,
trask/semantic-conventions-genai-orig#28::langchain::1.2.17::S2_postdates,https://github.com/trask/semantic-conventions-genai-orig/pull/28,trask/semantic-conventions-genai-orig,reference/scenarios/deepeval/pyproject.toml,langchain,==1.2.17,S2_invalid_version,,uncertain,medium,pypi::langchain::==1.2.17,,,
trask/semantic-conventions-genai-orig#28::google-adk::1.32.0::S2_postdates,https://github.com/trask/semantic-conventions-genai-orig/pull/28,trask/semantic-conventions-genai-orig,reference/scenarios/google-adk/pyproject.toml,google-adk,==1.32.0,S2_invalid_version,,uncertain,medium,pypi::google-adk::==1.32.0,,,
trask/semantic-conventions-genai-orig#28::google-genai::1.75.0::S2_postdates,https://github.com/trask/semantic-conventions-genai-orig/pull/28,trask/semantic-conventions-genai-orig,reference/scenarios/google-adk/pyproject.toml,google-genai,==1.75.0,S2_invalid_version,,uncertain,medium,pypi::google-genai::==1.75.0,,,
trask/semantic-conventions-genai-orig#28::mistralai::2.4.4::S2_postdates,https://github.com/trask/semantic-conventions-genai-orig/pull/28,trask/semantic-conventions-genai-orig,reference/scenarios/mistralai/pyproject.toml,mistralai,==2.4.4,S2_invalid_version,,uncertain,medium,pypi::mistralai::==2.4.4,,,
trask/semantic-conventions-genai-orig#28::openai-agents::0.15.1::S2_postdates,https://github.com/trask/semantic-conventions-genai-orig/pull/28,trask/semantic-conventions-genai-orig,reference/scenarios/openai-agents/pyproject.toml,openai-agents,==0.15.1,S2_invalid_version,,uncertain,medium,pypi::openai-agents::==0.15.1,,,
trask/semantic-conventions-genai-orig#28::pydantic-ai-slim::1.90.0::S2_postdates,https://github.com/trask/semantic-conventions-genai-orig/pull/28,trask/semantic-conventions-genai-orig,reference/scenarios/pydantic-ai/pyproject.toml,pydantic-ai-slim,==1.90.0,S2_invalid_version,,uncertain,medium,pypi::pydantic-ai-slim::==1.90.0,,,
bigler-webapps/webapp-template#11::django-core-micha::2.10.0::license,https://github.com/bigler-webapps/webapp-template/pull/11,bigler-webapps/webapp-template,backend/requirements.txt,django-core-micha,==2.10.0,S5_license_policy_violation,,uncertain,medium,pypi::django-core-micha::license_missing,,,
