change_id,pr_id,repo,package_name,spec,pr_time,label_primary,primary_grade,labeler_evidence_ts,gate_frozen_snapshot,scanner_status,S1,S2,S3,license,B3,label_validity,guard_cause,diagnosed_category,corrected_classification
motanova84/Riemann-adelic#2748::requirements-lock.txt::pillow::version_change,motanova84/Riemann-adelic#2748,motanova84/Riemann-adelic,pillow,==12.1.1,2026-03-16T21:32:19Z,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,2026-06-13T19:18:55.588797+00:00,2026-05-22,vulnerabilities_found,PASS,PASS,PASS,PASS,PASS,VALID (advisory published before PR per grade),advisory absent from gate frozen OSV snapshot (2026-05-22) but present in labeler evidence (2026-06-13); historical published date pre-PR => OSV backfill after gate snapshot,labeler-gate snapshot mismatch / advisory backfill (historical published metadata),"remains valid pre-PR P3; gate miss is snapshot-horizon artifact, NOT post-PR disclosure"
DevRexxxx/Music_Player#10::requirements.txt::pillow::add,DevRexxxx/Music_Player#10,DevRexxxx/Music_Player,Pillow,==10.4.0,2025-12-30T18:38:16Z,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,2026-06-13T19:18:56.036067+00:00,2026-05-22,vulnerabilities_found,PASS,PASS,PASS,PASS,PASS,VALID (advisory published before PR per grade),advisory absent from gate frozen OSV snapshot (2026-05-22) but present in labeler evidence (2026-06-13); historical published date pre-PR => OSV backfill after gate snapshot,labeler-gate snapshot mismatch / advisory backfill (historical published metadata),"remains valid pre-PR P3; gate miss is snapshot-horizon artifact, NOT post-PR disclosure"
btygd543/Telegroub-#6::requirements.txt::pillow::add,btygd543/Telegroub-#6,btygd543/Telegroub-,pillow,==12.1.1,2026-04-02T08:17:25Z,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,2026-06-13T19:19:07.825854+00:00,2026-05-22,vulnerabilities_found,PASS,PASS,PASS,PASS,PASS,VALID (advisory published before PR per grade),advisory absent from gate frozen OSV snapshot (2026-05-22) but present in labeler evidence (2026-06-13); historical published date pre-PR => OSV backfill after gate snapshot,labeler-gate snapshot mismatch / advisory backfill (historical published metadata),"remains valid pre-PR P3; gate miss is snapshot-horizon artifact, NOT post-PR disclosure"
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::pillow::add,Amartya2001-droid/campus-safety-hub#1,Amartya2001-droid/campus-safety-hub,pillow,==12.1.1,2026-03-15T16:02:45Z,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,2026-06-13T19:19:12.367289+00:00,2026-05-22,vulnerabilities_found,PASS,PASS,PASS,PASS,PASS,VALID (advisory published before PR per grade),advisory absent from gate frozen OSV snapshot (2026-05-22) but present in labeler evidence (2026-06-13); historical published date pre-PR => OSV backfill after gate snapshot,labeler-gate snapshot mismatch / advisory backfill (historical published metadata),"remains valid pre-PR P3; gate miss is snapshot-horizon artifact, NOT post-PR disclosure"
kafaat/sahool-unified-v15-idp#1427::apps/services/ai-advisor/requirements.txt::langchain-community::version_change,kafaat/sahool-unified-v15-idp#1427,kafaat/sahool-unified-v15-idp,langchain-community,==0.4.0,2026-03-31T16:50:55Z,P2_INVALID_VERSION_SPEC,strong_absent_now,2026-06-13T19:19:13.115956+00:00,2026-05-22,clean,PASS,PASS,PASS,PASS,PASS,VALID (version absent) per grade strong_absent_now,frozen PyPI snapshot did not flag the invalid/absent version pin at S2 (version-boundary / snapshot resolution),version-boundary / labeler-gate snapshot mismatch,remains valid P2; gate miss is version-resolution snapshot artifact
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/requirements.txt::pillow::add,vkb1/oep-developer-guides#1,vkb1/oep-developer-guides,Pillow,==12.1.1,2026-03-26T13:09:19Z,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,2026-06-13T19:19:19.444536+00:00,2026-05-22,vulnerabilities_found,PASS,PASS,PASS,PASS,PASS,VALID (advisory published before PR per grade),advisory absent from gate frozen OSV snapshot (2026-05-22) but present in labeler evidence (2026-06-13); historical published date pre-PR => OSV backfill after gate snapshot,labeler-gate snapshot mismatch / advisory backfill (historical published metadata),"remains valid pre-PR P3; gate miss is snapshot-horizon artifact, NOT post-PR disclosure"
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v1_sample_app/requirements.txt::pillow::add,vkb1/oep-developer-guides#1,vkb1/oep-developer-guides,Pillow,==12.1.1,2026-03-26T13:09:19Z,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,2026-06-13T19:19:19.690315+00:00,2026-05-22,vulnerabilities_found,PASS,PASS,PASS,PASS,PASS,VALID (advisory published before PR per grade),advisory absent from gate frozen OSV snapshot (2026-05-22) but present in labeler evidence (2026-06-13); historical published date pre-PR => OSV backfill after gate snapshot,labeler-gate snapshot mismatch / advisory backfill (historical published metadata),"remains valid pre-PR P3; gate miss is snapshot-horizon artifact, NOT post-PR disclosure"
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v2_sample_app/requirements.txt::pillow::add,vkb1/oep-developer-guides#1,vkb1/oep-developer-guides,Pillow,==12.1.1,2026-03-26T13:09:19Z,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,2026-06-13T19:19:20.267655+00:00,2026-05-22,vulnerabilities_found,PASS,PASS,PASS,PASS,PASS,VALID (advisory published before PR per grade),advisory absent from gate frozen OSV snapshot (2026-05-22) but present in labeler evidence (2026-06-13); historical published date pre-PR => OSV backfill after gate snapshot,labeler-gate snapshot mismatch / advisory backfill (historical published metadata),"remains valid pre-PR P3; gate miss is snapshot-horizon artifact, NOT post-PR disclosure"
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v3_sample_app/requirements.txt::pillow::add,vkb1/oep-developer-guides#1,vkb1/oep-developer-guides,Pillow,==12.1.1,2026-03-26T13:09:19Z,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,2026-06-13T19:19:20.284730+00:00,2026-05-22,vulnerabilities_found,PASS,PASS,PASS,PASS,PASS,VALID (advisory published before PR per grade),advisory absent from gate frozen OSV snapshot (2026-05-22) but present in labeler evidence (2026-06-13); historical published date pre-PR => OSV backfill after gate snapshot,labeler-gate snapshot mismatch / advisory backfill (historical published metadata),"remains valid pre-PR P3; gate miss is snapshot-horizon artifact, NOT post-PR disclosure"
muka-dev/cosinnus-core#1::pyproject.toml::pillow::add,muka-dev/cosinnus-core#1,muka-dev/cosinnus-core,Pillow,==10.3.0,2025-11-20T23:17:24Z,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,2026-06-13T19:19:32.887117+00:00,2026-05-22,vulnerabilities_found,PASS,PASS,PASS,PASS,PASS,VALID (advisory published before PR per grade),advisory absent from gate frozen OSV snapshot (2026-05-22) but present in labeler evidence (2026-06-13); historical published date pre-PR => OSV backfill after gate snapshot,labeler-gate snapshot mismatch / advisory backfill (historical published metadata),"remains valid pre-PR P3; gate miss is snapshot-horizon artifact, NOT post-PR disclosure"
