change_id,package_name,pinned_version,created_at,labeler_A_primary,labeler_B_primary,adjudication_result,referee,referee_note
samstill/company_management_backend#1::requirements.txt::pillow::version_change,pillow,12.2.0,2026-05-29T07:51:41Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,P3_DIRECT_KNOWN_VULNERABILITY,exact_timestamp_evidence,direct_advisory_known_at_pr_time=True; advisory_ids=GHSA-j7hp-h8jx-5ppr | no risk evidence found
motanova84/Riemann-adelic#2748::requirements-lock.txt::pillow::version_change,pillow,12.1.1,2026-03-16T21:32:19Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,P3_DIRECT_KNOWN_VULNERABILITY,exact_timestamp_evidence,direct_advisory_known_at_pr_time=True; advisory_ids=GHSA-j7hp-h8jx-5ppr | no risk evidence found
DevRexxxx/Music_Player#10::requirements.txt::pillow::add,Pillow,10.4.0,2025-12-30T18:38:16Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,P3_DIRECT_KNOWN_VULNERABILITY,exact_timestamp_evidence,direct_advisory_known_at_pr_time=True; advisory_ids=GHSA-j7hp-h8jx-5ppr | no risk evidence found
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::cryptography::add,cryptography,46.0.7,2026-04-22T21:16:54Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,P3_DIRECT_KNOWN_VULNERABILITY,exact_timestamp_evidence,direct_advisory_known_at_pr_time=True; advisory_ids=GHSA-x4qr-2fvf-3mr5 | no risk evidence found
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::pillow::add,pillow,12.2.0,2026-04-22T21:16:54Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,P3_DIRECT_KNOWN_VULNERABILITY,exact_timestamp_evidence,direct_advisory_known_at_pr_time=True; advisory_ids=GHSA-j7hp-h8jx-5ppr | no risk evidence found
btygd543/Telegroub-#6::requirements.txt::pillow::add,pillow,12.1.1,2026-04-02T08:17:25Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,P3_DIRECT_KNOWN_VULNERABILITY,exact_timestamp_evidence,direct_advisory_known_at_pr_time=True; advisory_ids=GHSA-j7hp-h8jx-5ppr | no risk evidence found
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::cryptography::add,cryptography,46.0.5,2026-03-15T16:02:45Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,P3_DIRECT_KNOWN_VULNERABILITY,exact_timestamp_evidence,direct_advisory_known_at_pr_time=True; advisory_ids=GHSA-x4qr-2fvf-3mr5 | no risk evidence found
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::pillow::add,pillow,12.1.1,2026-03-15T16:02:45Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,P3_DIRECT_KNOWN_VULNERABILITY,exact_timestamp_evidence,direct_advisory_known_at_pr_time=True; advisory_ids=GHSA-j7hp-h8jx-5ppr | no risk evidence found
kafaat/sahool-unified-v15-idp#1427::apps/services/ai-advisor/requirements.txt::langchain-community::version_change,langchain-community,0.4.0,2026-03-31T16:50:55Z,P2_INVALID_VERSION_SPEC,NONE,P2_INVALID_VERSION_SPEC,exact_timestamp_evidence,valid_version_at_pr_time=False; pinned_version=0.4.0 | no risk evidence found
sohamda/aks-store-demo#77::src/ai-service/requirements.txt::pillow::version_change,pillow,12.2.0,2026-04-16T07:37:42Z,P3_DIRECT_KNOWN_VULNERABILITY,NONE,P3_DIRECT_KNOWN_VULNERABILITY,exact_timestamp_evidence,direct_advisory_known_at_pr_time=True; advisory_ids=GHSA-j7hp-h8jx-5ppr | no risk evidence found
